"agency_zuul_uid_sha1","agency_zuul_uid","name"
"2a179a044dc35041aaefc92137267a04b4c36804","AGCY-b6e2752b-fd43-4c34-b04c-886af38a368a","Atos"
"d089e77ceaac744852aae6b613adc72277c9d041","AGCY-c05de655-5e12-42ac-91bc-38f0e10b9898","Carefree Communities"
"9c2b2c743bea4c751b9bd7837e2a7faefcf56675","AGCY-93913732-9650-4c75-bed1-53ef2bcbb497","Neulion"
"04f35d7bcea6eebba32fd06d03912c1977f6a339","AGCY-0fc13fca-abe2-4811-9685-15c540a31743","Nueva Comunicacion"
"f7d547310a7cdd722dfed733fe38bb4b346c360a","AGCY-8c7ceadd-63ef-4235-897b-54131c563fea","Crosby Textor"
"d2a121b0009bc3f5a2449729dff146d6ae265136","AGCY-3ff75da6-4e43-47a7-8ad1-3dd9a2b4b942","United Natural Products Alliance"
"d97f8f06a9d515fd267c640fe3b734dcc2815466","AGCY-957b35c7-a3a2-4291-b512-0b590eda1d46","Warrior Sports"
"72711f2b54a8370b17c4f49442f815f4d7742692","AGCY-14b29b98-844c-4bf6-9e92-130d9690f3dd","Mansfield Communications, Inc."
"b6511b8090400a25cc87ce3e0706718ac65c7d55","AGCY-2525b3a3-eef8-47af-9d04-bcc90601ed40","Vimarc"
"f8021510d54cda3eec238a5ce16975c3a184d262","AGCY-32ab6036-6f1b-49a6-8bd9-48fbfcbd57f5","Family Health Centers of San Diego"
"6c7bada0a47c80d04d2d5c6b0bbee5df3d45858b","AGCY-42cfdfce-22a8-4b19-aa34-be80580d90fc","Netscribes, Inc"
"88097f50aa9f4f61ea6f91cfca45002b4efdfd97","AGCY-c3cce2cf-af9d-48aa-a478-79a3fb6de9ab","Dietitians of Canada"
"410e64c3c6e2de5dff339580723237ec02659cd9","AGCY-a8825a80-afa6-4189-af48-3d85003f819e","Leo Burnett Detroit, Inc."
"d776b3ac16b36e8b4f3d56c2c07487491bb53d6a","AGCY-c9c51187-99cb-4142-a8bb-59f17ae3354a","Schifino Lee"
"db2f75ded2d548785164f8efc33b86d55afc1585","AGCY-adbc4497-0829-4038-b1c0-8105627c326f","Magna International"
"22483496ecf3a7a920198233a6acfe07c5b22473","AGCY-15c8c470-79f6-40d3-a9c6-7ab0e0b26b54","Society Social"
"10bbace49345710b19ddad1904a8dd07f3cff782","AGCY-b0033458-2731-4fd6-8156-38b8fb79198d","MMI Agency"
"8c065d32c16de5fe800463a44734c3ff2c4db054","AGCY-91824f66-08fa-456d-892a-0900de163b3f","Trustees of Boston University"
"b1985bfe550db1deb737b9bb6d47e5c704e4aa07","AGCY-44d959f1-8756-4f3b-b8e9-fccb6f2ad6d8","US Navy"
"8d656172267547c1f4bbdeece282e579648ac3e6","AGCY-1e370546-1ad5-4057-a5d2-37f9408dc412","SPM Communications"
"150399e9c989bb79a0669aa10d056a679438c4dc","AGCY-8200cbcc-306f-42c5-89a9-e1f6a91dfe5e","McWane"
"f9ef4ca28348c9749fdcc4f0bf2c3c997d542a87","AGCY-01b55e47-3f64-42ac-aae9-a5e22a795f90","Blue Apron"
"391f65a9b10bd1cfa5f8fdb4c121258965bd55a9","AGCY-e1d32565-7cf4-457d-80c3-347f2d961d76","Findasense"
"ce6b4c5f6a08ab138654e51965ef3569c75e418d","AGCY-167f123e-6e4f-4028-b860-72b842dc4b50","Publicis Pusher"
"eb35378319397268f0d9a84fe191bdf854b2666f","AGCY-564402ad-f6e3-4388-9972-645fa1bafb94","AmohDesigns"
"8643d838fef9eaa64cccb51114175d58f6100244","AGCY-4578bbd2-07e8-40ae-a105-a9a4c588a2a3","Streak"
"0fa441d690f80e25bc500f6f65cfdc9322853906","AGCY-c4d8049f-1dac-4d7a-ab0b-648fa36ecc68","Adams Knight"
"48584b9ac57ed77818d2e4afbe280612a080d456","AGCY-bc647be6-2419-4a27-839a-d4dd9ea0392a","PLAN Media"
